family,write_rate,rename_count,crypto_calls,processes,registry_ops,network_out
Locky,182,57,300,5,9,3
Locky,169,64,310,4,10,2
Locky,183,67,328,5,11,2
Locky,166,55,313,6,9,4
Locky,194,63,309,4,13,3
Locky,178,59,305,5,12,3
Locky,181,70,319,5,9,4
Locky,172,62,297,6,11,2
Locky,165,58,322,5,10,3
Locky,190,71,345,4,12,3
Locky,176,60,334,5,11,2
Locky,184,66,315,5,12,3
Locky,170,63,301,4,11,3
Locky,188,67,333,6,10,3
Locky,193,74,326,5,13,4
Locky,177,56,309,5,9,3
Locky,169,59,300,4,12,2
Locky,182,61,317,5,11,3
Locky,191,72,341,4,12,3
Locky,175,57,310,6,10,4
Locky,168,64,298,5,11,3
Locky,186,69,332,5,13,2
Locky,179,58,323,5,10,3
Locky,171,62,302,4,11,3
Locky,187,66,339,6,12,4
Locky,195,73,347,5,14,3
Locky,174,60,311,5,10,2
Locky,167,55,296,4,9,3
Locky,183,68,318,5,11,2
Locky,189,70,336,6,12,3
Locky,178,59,307,5,11,3
Locky,172,63,303,4,12,2
Locky,190,75,330,5,13,3
Locky,181,67,322,5,11,2
Locky,169,58,299,4,10,3
Locky,185,65,311,5,12,3
Locky,192,71,344,6,13,4
Locky,176,60,306,5,9,2
Locky,170,62,304,4,11,3
Locky,188,69,328,5,12,3
Locky,194,74,352,6,14,3
Locky,195,62,322,5,11,3
Locky,178,66,301,6,9,4
Locky,171,58,315,4,12,2
Locky,203,61,329,5,10,3
Locky,186,63,297,5,11,4
Locky,169,55,318,4,8,3
Locky,192,68,307,6,10,2
Locky,181,59,287,5,9,3
Locky,176,63,321,4,10,3
Locky,197,60,314,6,11,4
Locky,183,57,309,5,12,2
Locky,188,64,333,4,9,3
Locky,174,61,299,5,8,2
Locky,201,67,326,6,11,4
Locky,179,56,313,4,10,3
Locky,185,62,295,5,9,2
Locky,190,58,322,6,12,3
Locky,168,64,305,4,11,3
Locky,200,63,319,5,9,4
Locky,177,59,289,5,8,2
Locky,193,65,331,6,10,3
Locky,182,56,298,4,11,4
Locky,175,62,317,5,9,3
Locky,199,60,308,6,12,2
Locky,187,58,325,4,10,3
Locky,172,66,296,5,8,2
Locky,204,63,334,6,11,4
Locky,180,57,302,5,10,3
Locky,191,64,318,4,9,2
Locky,173,59,310,6,12,3
Locky,198,61,327,5,11,3
Locky,184,55,299,4,10,2
Locky,170,62,316,5,9,3
Locky,202,67,323,6,12,4
Locky,178,58,304,4,8,2
Locky,189,63,330,5,11,3
Locky,176,60,292,6,9,2
Locky,196,66,321,4,10,3
Locky,183,57,311,5,12,4
Locky,187,63,309,6,11,3
Locky,181,59,297,5,10,2
Locky,176,61,305,4,12,3
Locky,193,58,291,5,9,3
Locky,170,55,302,6,8,2
Locky,182,65,315,6,12,3
Locky,178,60,288,5,10,2
Locky,196,68,320,7,13,4
Locky,184,56,301,6,11,3
Locky,175,63,289,5,12,3
Locky,169,58,292,4,10,2
Locky,191,70,317,7,14,3
Locky,185,64,308,6,11,2
Locky,172,57,300,5,10,3
Locky,177,62,294,4,9,2
Locky,194,69,323,7,13,3
Locky,188,66,310,6,12,3
Locky,180,61,299,5,10,2
Locky,173,59,290,5,11,3
Locky,197,72,329,7,15,4
Locky,186,60,304,6,12,3
Locky,178,63,296,5,11,2
Locky,171,57,285,4,9,2
Locky,190,68,315,6,13,3
Locky,183,62,307,5,11,3
Locky,176,59,298,5,10,2
Locky,168,55,281,4,8,2
Locky,195,71,322,7,14,3
Locky,187,66,309,6,12,3
Locky,179,60,295,5,10,2
Locky,174,58,289,5,9,2
Locky,192,67,318,7,13,4
Locky,184,63,305,6,11,3
Locky,177,61,297,5,10,2
Locky,170,56,283,4,8,2
Locky,198,73,330,7,15,4
Locky,189,65,312,6,12,3
Locky,181,59,300,5,10,2
Locky,175,60,291,5,10,3
Locky,193,68,320,7,14,3
Locky,185,64,306,6,12,3
Locky,178,62,296,5,11,2
Locky,172,58,286,4,9,2
Locky,191,70,319,7,13,4
Locky,183,63,304,6,12,3
Locky,176,61,295,5,11,2
Locky,169,57,282,4,8,2
Locky,196,72,324,7,14,3
Locky,188,66,310,6,12,3
family,write_rate,rename_count,crypto_calls,processes,registry_ops,network_out
WannaCry,218,85,358,7,12,4
WannaCry,237,70,375,7,16,4
WannaCry,222,79,370,8,14,5
WannaCry,205,77,333,7,15,4
WannaCry,219,83,338,7,13,4
WannaCry,212,79,342,8,12,3
WannaCry,209,88,391,6,12,5
WannaCry,232,74,378,6,10,3
WannaCry,223,85,339,8,16,4
WannaCry,215,78,322,7,14,4
WannaCry,228,92,354,6,13,4
WannaCry,199,75,350,7,11,3
WannaCry,217,82,372,8,13,4
WannaCry,236,73,363,7,14,3
WannaCry,207,79,330,7,13,4
WannaCry,214,92,359,6,12,4
WannaCry,243,69,340,7,13,3
WannaCry,231,76,384,8,15,5
WannaCry,208,83,347,6,14,4
WannaCry,221,78,361,7,13,4
WannaCry,226,85,373,7,15,4
WannaCry,245,71,395,6,12,4
WannaCry,219,89,362,8,14,5
WannaCry,203,82,334,7,13,3
WannaCry,233,77,400,8,12,4
WannaCry,210,74,338,7,14,3
WannaCry,217,86,356,7,15,4
WannaCry,229,80,372,6,11,4
WannaCry,241,68,389,8,13,4
WannaCry,204,83,343,7,12,3
WannaCry,211,79,357,7,16,4
WannaCry,234,73,361,8,13,4
WannaCry,226,87,379,6,14,5
WannaCry,243,72,390,7,13,4
WannaCry,220,81,364,8,16,4
WannaCry,232,78,359,6,10,4
WannaCry,209,90,341,7,15,3
WannaCry,214,76,336,7,14,4
WannaCry,237,82,398,8,13,5
WannaCry,203,74,335,7,12,3
WannaCry,225,88,371,6,14,4
WannaCry,240,69,389,7,13,4
WannaCry,216,79,354,8,16,5
WannaCry,207,92,332,7,12,4
WannaCry,234,75,391,6,15,3
WannaCry,212,78,346,7,16,4
WannaCry,244,70,382,8,12,4
WannaCry,205,83,325,7,11,3
WannaCry,219,77,358,6,14,4
WannaCry,238,81,400,8,13,4
WannaCry,213,85,347,7,12,4
WannaCry,229,73,365,6,14,5
WannaCry,231,90,372,8,16,4
WannaCry,221,76,355,7,12,4
WannaCry,243,68,397,7,15,5
WannaCry,206,82,330,6,13,3
WannaCry,217,79,348,7,14,4
WannaCry,235,88,363,8,12,4
WannaCry,212,75,333,7,14,3
WannaCry,240,72,421,7,16,4
WannaCry,224,84,345,7,13,4
WannaCry,209,78,352,6,14,3
WannaCry,232,80,386,8,15,4
WannaCry,246,69,398,7,13,4
WannaCry,218,93,341,6,12,4
WannaCry,230,77,379,8,16,5
WannaCry,213,82,337,7,14,4
WannaCry,241,71,360,8,15,4
WannaCry,207,86,331,6,12,3
WannaCry,227,78,356,7,13,4
WannaCry,239,91,394,8,14,5
WannaCry,214,75,345,6,12,4
WannaCry,234,82,371,8,16,4
WannaCry,220,80,359,7,14,3
WannaCry,245,70,402,7,15,4
WannaCry,208,88,337,6,11,3
WannaCry,223,79,362,7,13,4
WannaCry,236,83,388,8,12,4
WannaCry,210,76,341,7,15,4
WannaCry,244,69,412,8,14,4
WannaCry,219,90,350,6,13,3
WannaCry,231,78,374,7,12,4
WannaCry,238,81,399,8,16,5
WannaCry,211,85,339,7,13,3
WannaCry,226,74,368,6,12,4
WannaCry,243,92,384,8,15,4
WannaCry,209,77,346,7,14,4
WannaCry,232,80,376,8,13,5
WannaCry,217,73,334,7,15,3
WannaCry,241,69,403,6,12,4
WannaCry,206,82,329,7,13,4
WannaCry,224,79,357,8,16,4
WannaCry,239,90,385,7,12,4
WannaCry,215,75,347,6,13,3
WannaCry,230,83,372,8,15,5
WannaCry,218,77,361,7,14,4
WannaCry,233,79,372,8,12,4
WannaCry,205,84,347,6,15,4
WannaCry,226,81,359,7,13,5
WannaCry,242,76,388,8,14,4
WannaCry,211,83,351,6,12,4
WannaCry,229,78,367,7,15,4
WannaCry,238,85,379,8,13,4
WannaCry,216,80,355,6,14,3
WannaCry,231,82,364,7,12,5
WannaCry,208,77,349,6,13,4
WannaCry,240,88,386,8,14,4
WannaCry,223,79,360,7,16,4
WannaCry,236,84,375,8,13,4
WannaCry,214,81,353,6,12,4
WannaCry,228,76,362,7,15,3
WannaCry,245,89,392,8,14,4
WannaCry,220,78,358,6,13,4
WannaCry,234,80,370,7,12,4
WannaCry,209,83,346,6,15,4
WannaCry,237,87,382,8,14,5
WannaCry,222,75,359,7,13,4
WannaCry,230,82,366,7,12,3
WannaCry,213,78,350,6,14,4
WannaCry,243,90,389,8,15,4
WannaCry,219,79,357,7,13,4
WannaCry,235,83,373,7,12,4
WannaCry,212,76,348,6,15,3
WannaCry,239,86,384,8,14,4
WannaCry,221,81,356,7,13,4
WannaCry,232,80,368,7,12,5
WannaCry,210,77,352,6,14,4
WannaCry,244,88,391,8,15,4
WannaCry,225,82,361,7,13,4
WannaCry,239,70,361,8,12,4
WannaCry,214,85,375,7,15,3
WannaCry,231,90,346,6,11,5
WannaCry,228,77,338,8,14,4
WannaCry,243,72,381,7,13,4
WannaCry,217,80,356,6,12,5
WannaCry,236,88,367,7,16,4
WannaCry,221,75,349,8,14,3
WannaCry,230,83,372,7,11,4
WannaCry,246,79,359,6,15,5
WannaCry,218,82,333,7,14,4
WannaCry,229,86,364,8,16,3
WannaCry,235,77,353,7,13,4
WannaCry,244,89,385,6,14,5
WannaCry,216,72,341,7,12,4
WannaCry,238,81,368,8,13,3
WannaCry,226,90,357,7,15,4
WannaCry,241,84,379,6,13,5
WannaCry,212,76,345,7,11,4
WannaCry,233,88,371,8,14,3
WannaCry,247,70,352,7,16,4
WannaCry,219,79,361,6,12,5
WannaCry,231,85,374,7,14,4
WannaCry,245,73,348,8,13,3
WannaCry,220,80,358,7,15,4
WannaCry,237,89,377,6,11,5
WannaCry,224,76,343,7,14,4
WannaCry,243,82,369,8,13,3
WannaCry,215,91,354,7,16,4
WannaCry,234,78,362,6,14,5
WannaCry,229,74,341,7,12,4
WannaCry,248,87,383,8,13,3
WannaCry,216,80,357,7,15,4
WannaCry,241,75,365,6,14,5
WannaCry,223,89,372,7,11,4
WannaCry,236,82,344,8,13,3
WannaCry,218,77,366,7,16,4
WannaCry,244,91,359,6,12,5
WannaCry,225,73,347,7,15,4
WannaCry,239,86,370,8,13,3
WannaCry,214,84,355,7,14,4
WannaCry,233,71,363,6,11,5
WannaCry,246,80,376,7,13,4
WannaCry,227,90,350,8,16,3
WannaCry,240,78,360,7,14,4
WannaCry,221,83,373,6,15,5
WannaCry,235,72,349,7,13,4
WannaCry,249,88,367,8,12,3
WannaCry,217,79,342,7,14,4
WannaCry,238,85,380,6,13,5
WannaCry,223,74,354,7,12,4
WannaCry,245,90,371,8,15,3
WannaCry,220,81,358,7,14,4
WannaCry,237,76,340,6,13,5
WannaCry,226,88,368,7,16,4
WannaCry,242,70,353,8,12,3
WannaCry,219,82,366,7,15,4
WannaCry,234,89,379,6,14,5
WannaCry,228,75,345,7,12,4
WannaCry,247,83,361,8,13,3
WannaCry,216,91,374,7,15,4
WannaCry,239,77,357,6,12,5
WannaCry,224,85,369,7,14,4
WannaCry,243,71,351,8,13,3
WannaCry,218,90,364,7,15,4
WannaCry,236,79,378,6,14,5
WannaCry,222,73,343,7,12,4
WannaCry,229,78,359,7,12,4
WannaCry,217,85,370,6,15,5
WannaCry,241,90,381,8,14,4
WannaCry,226,74,353,7,13,3
WannaCry,238,83,366,6,12,4
WannaCry,212,70,341,5,11,3
WannaCry,245,92,389,8,16,5
WannaCry,221,80,360,7,14,4
WannaCry,234,88,375,7,15,4
WannaCry,208,77,348,6,13,3
WannaCry,243,91,386,8,16,4
WannaCry,216,73,352,6,11,4
WannaCry,239,86,371,7,14,5
WannaCry,224,79,356,6,13,3
WannaCry,232,82,368,7,12,4
WannaCry,218,76,349,6,14,3
WannaCry,247,94,392,8,17,5
WannaCry,213,72,343,5,11,3
WannaCry,236,85,373,7,15,4
WannaCry,227,78,354,7,12,4
WannaCry,242,89,383,8,15,5
WannaCry,219,75,350,6,13,3
WannaCry,233,81,365,7,14,4
WannaCry,210,74,346,6,11,3
WannaCry,244,93,387,8,16,4
WannaCry,225,79,358,6,14,4
WannaCry,238,87,372,7,15,5
WannaCry,214,71,344,5,12,3
WannaCry,235,84,369,7,14,4
WannaCry,229,80,361,6,13,4
WannaCry,248,95,395,9,17,5
WannaCry,222,77,355,6,14,3
WannaCry,240,88,378,7,15,4
WannaCry,211,73,342,5,12,3
WannaCry,237,86,374,7,15,4
WannaCry,228,79,357,6,13,4
WannaCry,246,93,390,8,16,5
WannaCry,220,76,352,6,14,3
WannaCry,241,90,382,7,15,4
WannaCry,212,74,345,5,12,3
WannaCry,234,82,366,7,14,4
WannaCry,226,78,359,6,13,4
WannaCry,243,91,384,8,16,5
WannaCry,215,72,347,5,11,3
WannaCry,239,87,371,7,15,4
WannaCry,223,77,354,6,12,3
WannaCry,232,83,367,7,14,4
WannaCry,217,75,349,6,13,3
WannaCry,245,94,391,8,16,5
Ryuk,272,107,444,10,17,6
Ryuk,255,96,421,8,16,5
Ryuk,263,101,439,9,17,5
Ryuk,248,93,406,8,15,4
Ryuk,275,104,451,10,18,5
Ryuk,257,98,417,9,16,5
Ryuk,269,108,445,9,17,6
Ryuk,261,99,423,8,16,5
Ryuk,254,95,412,9,15,4
Ryuk,276,110,452,10,18,6
Ryuk,259,102,430,9,16,5
Ryuk,264,100,437,8,17,5
Ryuk,271,105,448,9,18,6
Ryuk,250,92,405,8,15,4
Ryuk,268,104,440,9,17,5
Ryuk,262,99,426,9,16,5
Ryuk,273,111,454,10,18,6
Ryuk,256,97,416,8,16,5
Ryuk,266,103,433,9,17,5
Ryuk,249,94,408,8,15,4
Ryuk,270,109,449,9,18,6
Ryuk,258,100,425,8,16,5
Ryuk,265,102,431,9,17,5
Ryuk,252,91,402,8,15,4
Ryuk,274,112,456,10,18,6
Ryuk,260,98,420,9,16,5
Ryuk,267,104,438,9,17,5
Ryuk,253,96,410,8,15,4
Ryuk,272,108,447,9,18,6
Ryuk,257,99,422,8,16,5
Ryuk,269,107,443,9,17,6
Ryuk,251,93,407,8,15,4
Ryuk,263,101,428,9,16,5
Ryuk,275,113,458,10,18,6
Ryuk,255,97,415,8,16,5
Ryuk,268,105,441,9,17,5
Ryuk,260,100,423,8,16,5
Ryuk,249,92,403,8,15,4
Ryuk,271,110,450,9,18,6
Ryuk,258,101,427,9,16,5
Ryuk,266,104,435,9,17,5
Ryuk,254,95,411,8,15,4
Ryuk,273,112,453,10,18,6
Ryuk,262,100,424,9,16,5
Ryuk,248,93,401,8,15,4
Ryuk,270,109,446,9,18,6
Ryuk,259,98,419,8,16,5
Ryuk,265,103,432,9,17,5
Ryuk,252,96,409,8,15,4
Ryuk,276,114,460,10,18,6
Ryuk,261,99,421,9,16,5
Ryuk,268,106,444,9,17,6
Ryuk,250,94,402,8,15,4
Ryuk,274,111,455,10,18,6
Ryuk,257,100,418,8,16,5
Ryuk,263,102,429,9,17,5
Ryuk,271,109,449,9,18,6
Ryuk,256,97,414,8,16,5
Ryuk,267,104,437,9,17,5
Ryuk,253,95,407,8,15,4	
Ryuk,269,108,445,9,17,6
Ryuk,260,99,422,8,16,5
Ryuk,264,101,430,9,17,5
Ryuk,251,94,404,8,15,4
Ryuk,275,113,457,10,18,6
Ryuk,258,100,420,9,16,5
Ryuk,266,103,434,9,17,5
Ryuk,254,96,409,8,15,4
Ryuk,272,110,451,9,18,6
Ryuk,259,101,426,9,16,5
Ryuk,261,96,418,9,17,5
Ryuk,274,103,437,10,16,5
Ryuk,255,101,426,8,15,5
Ryuk,269,99,432,9,16,4
Ryuk,263,95,419,8,17,5
Ryuk,276,104,441,10,18,5
Ryuk,258,98,425,9,15,4
Ryuk,272,102,436,9,17,5
Ryuk,266,100,429,8,16,5
Ryuk,279,105,444,10,18,5
Ryuk,259,97,421,9,15,5
Ryuk,271,101,435,9,17,4
Ryuk,265,99,428,8,16,5
Ryuk,278,104,443,10,18,5
Ryuk,257,96,422,9,15,5
Ryuk,270,102,434,9,17,5
Ryuk,264,98,427,8,16,4
Ryuk,277,103,442,10,18,5
Ryuk,260,97,420,9,15,5
Ryuk,273,101,438,9,17,5
Ryuk,267,99,430,8,16,5
Ryuk,280,106,445,10,18,5
Ryuk,262,95,423,9,15,4
Ryuk,275,103,439,9,17,5
Ryuk,268,100,431,8,16,5
Ryuk,281,107,447,10,18,5
Ryuk,256,96,419,9,15,5
Ryuk,269,102,433,9,17,4
Ryuk,263,98,426,8,16,5
Ryuk,276,104,440,10,18,5
Ryuk,262,102,403,9,17,5
Ryuk,247,95,439,9,15,5
Ryuk,255,105,414,8,15,4
Ryuk,271,112,448,9,18,5
Ryuk,264,97,429,10,16,4
Ryuk,259,101,436,9,17,5
Ryuk,268,108,452,9,16,5
Ryuk,273,109,421,10,17,4
Ryuk,251,93,407,9,15,4
Ryuk,258,98,431,9,17,5
Ryuk,266,104,445,10,18,5
Ryuk,274,110,458,9,16,4
Ryuk,262,99,412,8,15,5
Ryuk,256,97,426,9,17,4
Ryuk,269,113,451,10,18,5
Ryuk,275,115,463,9,16,5
Ryuk,248,92,403,8,14,4
Ryuk,254,99,428,9,16,5
Ryuk,263,104,444,9,17,5
Ryuk,271,111,457,10,18,4
Ryuk,259,96,421,8,15,5
Ryuk,252,95,432,9,17,4
Ryuk,267,106,446,10,18,5
Ryuk,273,112,459,9,16,5
Ryuk,246,91,405,8,14,4
Ryuk,253,98,429,9,17,5
Ryuk,261,103,443,10,18,4
Ryuk,270,109,456,9,16,5
Ryuk,257,94,418,8,15,4
Ryuk,249,92,431,9,17,5
Ryuk,265,105,447,10,18,5
Ryuk,272,110,460,9,16,4
Ryuk,260,99,413,8,15,5
Ryuk,255,97,425,9,17,4
Ryuk,268,108,450,10,18,5
Ryuk,276,114,462,9,16,5
Ryuk,250,90,404,8,14,4
Ryuk,257,101,430,9,17,5
Ryuk,266,106,445,10,18,4
Ryuk,274,113,458,9,16,5
Ryuk,263,97,422,8,15,5
Ryuk,254,96,434,9,17,4
Ryuk,269,109,448,10,18,5
Ryuk,277,115,464,9,16,5
Ryuk,245,89,402,8,14,4
Ryuk,252,97,427,9,17,5
Ryuk,264,103,442,10,18,4
Ryuk,273,110,455,9,16,5
Ryuk,258,95,419,8,15,5
Ryuk,251,94,433,9,17,4
Ryuk,267,107,449,10,18,5
Ryuk,275,114,461,9,16,5
Ryuk,259,100,416,8,15,4
Ryuk,253,98,428,9,17,5
Ryuk,270,112,452,10,18,5
Ryuk,278,118,467,9,17,5
Ryuk,247,91,406,8,14,4
Ryuk,256,102,432,9,17,5
Ryuk,265,105,446,10,18,4
Ryuk,272,111,457,9,16,5
Ryuk,261,98,420,8,15,5
Ryuk,255,96,435,9,17,4
Ryuk,269,108,451,10,18,5
Ryuk,276,115,463,9,16,5
Ryuk,249,93,408,8,14,4
Ryuk,257,100,430,9,17,5
Ryuk,266,104,443,10,18,4
Ryuk,274,112,459,9,16,5
Ryuk,260,97,417,8,15,5
Ryuk,254,95,429,9,17,4
Ryuk,268,106,447,10,18,5
Ryuk,277,116,466,9,17,5
Ryuk,246,90,403,8,14,4
Ryuk,253,99,431,9,17,5
Ryuk,263,104,445,10,18,4
Ryuk,271,110,457,9,16,5
Ryuk,259,96,420,8,15,5
Ryuk,250,94,433,9,17,4
Ryuk,267,108,449,10,18,5
Ryuk,276,115,462,9,16,5
Ryuk,258,101,417,8,15,5
Ryuk,252,98,430,9,17,4
Ryuk,270,112,453,10,18,5
Ryuk,279,119,468,9,17,5
Ryuk,248,92,405,8,14,4
Ryuk,256,103,433,9,17,5
Ryuk,265,105,447,10,18,4
Ryuk,273,111,456,9,16,5
Ryuk,262,99,421,8,15,5
Ryuk,255,97,434,9,17,4
Ryuk,268,109,452,10,18,5
Ryuk,277,117,467,9,17,5
Ryuk,246,90,404,8,14,4
Ryuk,254,99,429,9,17,5
Ryuk,263,104,444,10,18,4
Ryuk,272,104,431,9,17,5
Ryuk,255,96,415,8,16,5
Ryuk,263,99,422,9,15,4
Ryuk,276,102,437,10,18,5
Ryuk,249,95,409,8,14,4
Ryuk,268,101,429,9,16,5
Ryuk,259,98,418,9,17,5
Ryuk,271,107,435,10,19,6
Ryuk,264,100,421,9,16,5
Ryuk,253,93,412,8,15,4
Ryuk,262,97,419,9,16,5
Ryuk,275,105,438,10,18,5
Ryuk,257,99,417,9,16,5
Ryuk,266,103,426,9,17,5
Ryuk,248,92,407,8,15,4
Ryuk,270,101,432,9,17,5
Ryuk,261,96,420,9,16,5
Ryuk,279,109,441,10,19,6
Ryuk,256,94,414,8,15,4
Ryuk,267,102,427,9,17,5
Ryuk,273,106,433,10,18,5
Ryuk,252,95,411,8,15,4
Ryuk,265,99,425,9,16,5
Ryuk,258,97,416,9,16,5
Ryuk,274,104,436,10,18,5
Ryuk,260,98,421,9,16,5
Ryuk,269,103,428,9,17,5
Ryuk,250,93,408,8,14,4
Ryuk,277,108,439,10,19,6
Ryuk,254,96,413,8,15,4
Ryuk,263,100,422,9,16,5
Ryuk,271,105,434,10,18,5
Ryuk,259,97,417,9,16,5
Ryuk,268,102,429,9,17,5
Ryuk,251,94,409,8,15,4
Ryuk,266,99,424,9,16,5
Ryuk,273,107,435,10,18,5
Ryuk,260,96,420,9,16,5
Ryuk,278,110,442,10,19,6
Ryuk,255,95,414,8,15,4
Ryuk,264,101,423,9,16,5
Ryuk,272,104,431,9,17,5
Ryuk,257,98,416,9,16,5
Ryuk,269,103,428,9,17,5
Ryuk,252,92,410,8,14,4
Ryuk,275,106,437,10,18,5
Ryuk,261,97,421,9,16,5
Ryuk,270,102,430,9,17,5
Ryuk,258,99,418,9,16,5
Ryuk,267,101,426,9,17,5
Ryuk,253,94,411,8,15,4
Ryuk,276,107,438,10,18,5
Ryuk,262,98,422,9,16,5
Ryuk,271,104,433,9,17,5
Ryuk,256,96,415,8,15,4
REvil,245,88,392,8,14,4
REvil,230,95,401,7,13,4
REvil,256,92,410,9,15,5
REvil,241,87,385,8,14,3
REvil,238,93,395,7,13,4
REvil,250,90,402,8,15,4
REvil,260,94,418,9,16,5
REvil,247,86,389,8,14,4
REvil,234,91,397,7,13,4
REvil,252,89,405,8,15,4
REvil,243,96,412,7,14,5
REvil,258,92,420,9,16,4
REvil,236,88,388,7,13,3
REvil,249,93,404,8,14,4
REvil,255,97,416,9,16,5
REvil,240,90,398,7,13,4
REvil,233,94,392,7,14,4
REvil,262,91,421,9,17,5
REvil,248,87,393,8,14,4
REvil,254,95,414,9,15,4
REvil,239,89,386,7,13,4
REvil,257,98,423,9,17,5
REvil,244,92,400,8,14,4
REvil,259,96,418,9,16,5
REvil,235,88,389,7,13,3
REvil,251,94,407,8,15,4
REvil,263,99,425,9,17,5
REvil,242,90,396,7,14,4
REvil,237,93,390,7,13,4
REvil,256,97,417,9,16,5
REvil,246,89,401,8,14,4
REvil,253,95,412,8,15,5
REvil,231,91,387,7,12,3
REvil,260,93,419,9,16,4
REvil,258,89,413,8,15,4
REvil,236,94,391,7,13,4
REvil,248,92,405,8,14,4
REvil,264,97,429,9,17,5
REvil,243,88,399,7,13,4
REvil,255,96,416,9,15,4
REvil,239,90,387,7,13,3
REvil,261,94,422,9,16,4
REvil,250,93,408,8,15,4
REvil,267,98,432,10,18,5
REvil,241,89,394,7,13,4
REvil,257,97,417,9,16,5
REvil,232,92,382,7,12,3
REvil,253,95,410,8,15,4
REvil,268,100,438,10,18,5
REvil,244,91,397,8,14,4
REvil,238,93,389,7,13,3
REvil,259,96,419,9,16,5
REvil,247,90,403,8,14,4
REvil,265,99,430,10,17,5
REvil,233,88,384,7,12,3
REvil,252,94,406,8,15,4
REvil,266,97,428,9,17,5
REvil,240,92,395,7,14,4
REvil,237,91,390,7,13,3
REvil,256,95,414,9,16,4
REvil,249,93,407,8,15,4
REvil,262,98,427,10,17,5
REvil,234,89,386,7,12,3
REvil,254,96,413,9,16,4
REvil,269,100,440,10,18,5
REvil,246,92,401,8,14,4
REvil,239,94,393,7,13,3
